,title,subtitle,link
0,CRIST ALMIGHTY,Shock Premier League table since Ronaldo’s last Man Utd game revealed,https://www.thesun.co.uk/sport/21379553/premier-league-table-man-utd-cristiano-ronaldo-last-game/
1,SLIP OF THE TONGUE,Guardiola issues grovelling apology after 'stupid' joke about Gerrard,https://www.thesun.co.uk/sport/21383179/pep-guardiola-apology-steven-gerrard-slip-man-city/
2,SAINTS GO MARSCHING IN,Southampton to appoint ex-Leeds boss Marsch for Prem survival fight,https://www.thesun.co.uk/sport/21380179/southampton-appoint-marsch-new-manager-jones/
3,FOOTBALL HEARTBREAK,Tragedy for Nantes striker Ganago as five-year-old daughter dies,https://www.thesun.co.uk/sport/21383271/nantes-ignatius-ganago-daughter-dies/
4,BONUS,Best no-deposit bonuses: Top no-deposit casinos for February 2023,https://www.thesun.co.uk/betting/21007381/best-no-deposit-casino-bonuses/
5,OUT COLD,"Fan knocked out while goading West Ham doesn't even support Chelsea, boss reveals",https://www.thesun.co.uk/sport/21380771/football-fan-knocked-out-chelsea/
6,NO ENTRY,Europa clash 'to be played without fans as it presents real danger to statehood',https://www.thesun.co.uk/sport/21383947/europa-conference-league-clash-statehood/
7,MASON UPDATE,Mason Greenwood set to miss rest of season as Man United probe continues,https://www.thesun.co.uk/sport/21382097/mason-greenwood-miss-season/
8,'WISHFUL THINKING',Utd & Liverpool in BIG boost as Dortmund cast doubt on Bellingham future,https://www.thesun.co.uk/sport/21382809/man-utd-liverpool-transfer-boost-dortmund-bellingham-future/
9,FAB £30,Bonus: Get £30 in FREE BETS when you stake £10 with Sky Bet -18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/19781466/sky-bet-30-free-bets/
10,DREAM TEAM,How combined Arsenal and Man City XI would line up ahead of mega title clash,https://www.thesun.co.uk/sport/21380529/arsenal-man-city-combined-team-title/
11,VAR DROPPED,Lee Mason AXED from VAR duty for weekend Prem games after Arsenal controversy,https://www.thesun.co.uk/sport/21382441/lee-mason-axed-var-duty-arsenal-brentford-controversy/
12,RED WAR,Liverpool 'join Utd in Victor Osimhen race with Jurgen Klopp to have huge kitty',https://www.thesun.co.uk/sport/21377842/man-utd-liverpool-victor-osimhen-transfer-jurgen-klopp-napoli/
13,JOAO ABOUT THAT,Felix could make Chelsea move permanent as Atletico eye deal for Blues ace,https://www.thesun.co.uk/sport/21380058/felix-chelsea-transfer-permanent-atletico-eye-blues-ace/
14,RICH PICKINGS,Richarlison on Real Madrid's shortlist as they prepare for huge summer spree,https://www.thesun.co.uk/sport/21376259/richarlison-real-madrid-transfer-tottenham/
15,OWN GOAL,Marcus Rashford in bizarre personalised number plate mix-up on his £280k McLaren,https://www.thesun.co.uk/sport/21376874/marcus-rashford-number-plate-mix-up-mclaren/
16,NOU PROBLEMS,Man Utd injury blow as Ten Hag set to be without key trio for Barcelona clash,https://www.thesun.co.uk/sport/21379907/man-utd-injury-ten-hag-barcelona/
17,RIP OFF,Nelson Semedo suffers kit malfunction weeks after playing with upside down badge,https://www.thesun.co.uk/sport/21379249/wolves-nelson-semedo-kit-malfunction/
18,'STAY STRONG',Footballer 'dies' after cardiac arrest in training before being revived,https://www.thesun.co.uk/sport/21376376/footballer-dies-cardiac-arrest-training-doctor/
19,READY FOR WAR,Neil Warnock OUT of retirement aged 74 for second stint at Huddersfield Town,https://www.thesun.co.uk/sport/21369723/neil-warnock-out-of-retirement-huddersfield-town/
20,GUIRE SALE,Maguire 'growing to accept' Man Utd exit as Champions League club plot move,https://www.thesun.co.uk/sport/21374750/man-utd-maguire-transfer-ten-hag/
21,ERLI RISER,Man City boost for Arsenal clash as Haaland trains after suffering injury scare,https://www.thesun.co.uk/sport/21376669/erling-haaland-man-city-fitness-boost-arsenal/
22,ZIY'S THE KEY,Spurs should target Chelsea flop who could solve problems claims club legend,https://www.thesun.co.uk/sport/21380217/tottenham-ac-milan-champions-league-vaart-ziyech/
23,GOES ELON WAY,How Man Utd could line up under Elon Musk with Twitter boss to spend millions,https://www.thesun.co.uk/sport/21371906/man-utd-line-up-elon-musk-kane-bellingham/
24,HAAL CHANGE,How Man City could line up WITHOUT Haaland vs Arsenal ahead of title clash,https://www.thesun.co.uk/sport/21369629/man-city-line-up-without-haaland-arsenal-title/
25,'WE ARE FRUSTRATED',Neymar confirms PSG row and compares it to arguing with his girlfriend,https://www.thesun.co.uk/sport/21377641/neymar-psg-dressing-room-row-girlfriend/
26,MARC'D MAN,Rashford shining 'because he doesn't have to play second fiddle to Ronaldo',https://www.thesun.co.uk/sport/21381321/rashford-ronaldo-man-utd-crooks/
27,FREE BETS,Get the best free bet sign up offers for February including bet £10 get £50,https://www.thesun.co.uk/betting/20812234/free-bets/
28,SHEAR BEAUTY,Prem legend's daughter stuns in bra and thong for PrettyLittleThing shoot,https://www.thesun.co.uk/sport/21374277/premier-league-daughter-bra-thong-prettylittlething/
29,'TOO FUNNY',Fans joke Klopp has forgotten why he selected Liverpool pair against Everton,https://www.thesun.co.uk/sport/21375400/jurgen-klopp-liverpool-everton-henderson-fabinho-neville/
30,MESSI TO LEAVE?,Lionel Messi ‘leaning towards snubbing new PSG contract and QUITTING club’,https://www.thesun.co.uk/sport/21372298/lionel-messi-psg-transfer-exit-inter-miami/
31,SAMBA STEEL,Brazil and Serie A star makes Motherwell job pitch to replace Stevie Hammell,https://www.thesun.co.uk/sport/football/21377798/brazil-inter-milan-motherwell-job/
32,TOP 40,Football free bets: Get £40 bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/20695257/william-hill-free-bets-sign-up-bonus-offer-register/
33,IN THEIR PRIME,"KSI hangs out with Martinelli, Nelson and Nketiah at Arsenal training ground",https://www.thesun.co.uk/sport/21377620/prime-owner-ksi-hangs-out-arsenal-stars/
34,'DON'T WANT TO HIDE',Euro 2020 football star comes out as gay in emotional video,https://www.thesun.co.uk/sport/21370327/euros-jakub-jankto-gay/
35,FOOTY PROBE,Former football wonderkid 'arrested on suspicion of assaulting ex-girlfriend',https://www.thesun.co.uk/sport/21372319/mohamed-ihattaren-arrested-assaulting-girlfriend-cops/
36,'STRAIGHT IN MY HEART',Zlatan fights back tears in message to terminally-ill journo pal,https://www.thesun.co.uk/sport/21381027/zlatan-ibrahimovic-emotional-message-friend/
37,FREEBIE,Get £30 in free bets for the horse racing today with Sky Bet - 18+ T&Cs apply,https://www.thesun.co.uk/sport/horseracing/19933633/sky-bet-sign-up-free-bets-30/
38,DI-LIGHTFUL,Karius' stunning Wag Diletta leaves little to imagination in feather boob tube,https://www.thesun.co.uk/sport/21376160/newcastle-keeper-loris-karius-wag-diletta-leotta/
39,THE BIG MATCH,How Arsenal could line up against Man City with Arteta planning two changes,https://www.thesun.co.uk/sport/21378448/arsenal-predicted-team-man-city-mikel-arteta/
40,GOLDEN BIDS,Beckham 'approached to be face of Man Utd takeover bids' and Fergie may be next,https://www.thesun.co.uk/sport/21375233/david-beckham-man-utd-takeover-bids-ferguson-qatar/
41,NEVER SAY NEV,Neville warned to 'tone it down' on TV after cracking Man City joke in studio,https://www.thesun.co.uk/sport/21375795/gary-neville-man-utd-city-joke-financial-charges/
42,RANKED,Best casino welcome bonuses - UK casino offers for February 2023,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
43,MESSAGE ON A BOTTLE,Pickford's penalty cheat sheet spotted with Liverpool stars' secrets,https://www.thesun.co.uk/sport/21375770/jordan-pickford-penalty-water-bottle-everton-liverpool/
44,KEEPER TRAGEDY,"Goalkeeper, 25, dies after collapsing on pitch moments after saving penalty",https://www.thesun.co.uk/sport/21369316/goalkeeper-dead-heart-attack-arne-espeel-winkel-sport/
45,NEW BALL GAME,Fifa set to trial new offside rule with semi-automatic system ‘too accurate’,https://www.thesun.co.uk/sport/21365743/fifa-trial-new-offside-rule-semi-automatic-system/
46,"STAYING PRIVATE, RYAN",Sessegnon makes bold changes to social media after huge injury blow,https://www.thesun.co.uk/sport/21381653/ryan-sessegnon-instagram-change-hamstring-injury-tottenham/
47,MODEL PRO,Football legend looks unrecognisable as a fashion icon in the 90s,https://www.thesun.co.uk/sport/21369254/guardiola-modelling-manchester-city/
48,BOSSING IT,Piqué risks Shakira’s anger after making shock admission about new girlfriend,https://www.thesun.co.uk/sport/21379658/gerard-pique-risks-shakiras-anger-comment-clara-chia/
49,BLUE PHEW,Chelsea will NOT sack Graham Potter and see boss as long-term project over years,https://www.thesun.co.uk/sport/21366106/chelsea-not-sack-graham-potter-struggles/
50,'HAS IT LANDED YET?',Mahrez brilliantly trolls HIMSELF after miss of the year contender,https://www.thesun.co.uk/sport/21363325/riyad-mahrez-man-city-miss/
51,OH MANN,Inside huge rifts splitting Bayern apart including bitter Neuer row with Nagelsmann,https://www.thesun.co.uk/sport/21372672/inside-bayern-munich-rift-rows-dressing-room-inquest/
52,ZINE LIVES,Nasri reveals Zidane's dream job and why he will snub Prem after Man Utd links,https://www.thesun.co.uk/sport/21377165/man-utd-zinedine-zidane-dream-job-samir-nasri/
53,THEY'RE OFFICIAL,'World's hottest referee' is married to fellow official & wows with snaps,https://www.thesun.co.uk/sport/21378590/worlds-hottest-referee-married-official-wows-fans/
54,PITCH BATTLE,Watch shocking moment fan attacks player on pitch before quickly regretting it,https://www.thesun.co.uk/sport/21368007/shocking-fan-pitch-attacks-colombian-football/
55,AZZ SOME OF THAT,Watch stunned star smash record for fastest goal straight from kick-off,https://www.thesun.co.uk/sport/21380955/watch-italian-football-history-fastest-goal-kick-off/
56,SNOW JOKE,Injured Pogba blasted by Juventus legend for ‘skiing while club have problems',https://www.thesun.co.uk/sport/21366984/paul-pogba-blasted-juventus-skiing-injury-marco-tardelli/
57,CARRY ON CARRA,Carragher trolls Pep & says Man City boss must have watched Sky Sports rant,https://www.thesun.co.uk/sport/21363156/man-city-erling-haaland-aston-villa-pep-guardiola-carragher/
58,JUR REAL DEAL,Real Madrid 'want Klopp as next boss' and hope Bellingham deal will seal move,https://www.thesun.co.uk/sport/21358797/real-madrid-liverpool-jurgen-klopp-carlo-ancelotti-bellingham-transfer/
59,RODRI-BLOW,Tottenham dealt huge blow with Bentancur set to miss SIX MONTHS with ACL tear,https://www.thesun.co.uk/sport/21360129/tottenham-rodrigo-bentancur-acl-tear/
60,'JUST BAD',Watch Pickford go to a 'different postcode' in huge blunder to gift Salah goal,https://www.thesun.co.uk/sport/21375827/everton-keeper-jordan-pickford-mo-salah-liverpool/
61,FOOTBALL D-DAY,Neville says Prem will look 'incompetent’ if Man City cleared of FFP charges,https://www.thesun.co.uk/sport/21362081/neville-man-city-ffp-premier-league/
62,SCHREUD MOVE,Ten Hag's axed Ajax successor Schreuder OUT of Leeds running after Utd trip,https://www.thesun.co.uk/sport/21373460/leeds-alfred-schreuder-man-utd-erik-ten-hag/
63,KLOPP OF THE STROPS,Klopp blasts 'have the balls to go for me' in rant at reporters,https://www.thesun.co.uk/sport/21367808/liverpool-jurgen-klopp/
